                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3044,                 3.7633,                 3.3399,                0.01372,                0.01727,                0.00221,                0.00062,                 4.0361,                 5.5202,                  1.969,              0.0033265,              0.0033265,              0.0033265
                      2,                 2.5075,                 2.2999,                 1.7683,                 0.4802,                0.03772,                0.02559,                0.00886,                 2.9368,                 2.2687,                 1.2984,              0.0066378,              0.0066378,              0.0066378
                      3,                 2.0879,                  2.044,                  1.396,                0.56376,                0.06413,                 0.0568,                 0.0246,                 2.6747,                 1.8262,                 1.2094,              0.0099272,              0.0099272,              0.0099272
                      4,                 1.8349,                 1.9011,                 1.2634,                0.35865,                0.11271,                0.07853,                0.03663,                 2.2852,                   1.68,                 1.1177,               0.009901,               0.009901,               0.009901
                      5,                 1.6879,                 1.7838,                  1.197,                0.23838,                0.12604,                0.11686,                0.06111,                 2.1323,                  1.431,                 1.0587,               0.009901,               0.009901,               0.009901
                      6,                 1.5994,                 1.7245,                 1.1637,                0.38648,                0.11899,                0.08392,                0.03694,                 2.0629,                 1.4876,                 1.0477,               0.009868,               0.009868,               0.009868
                      7,                 1.5441,                 1.6769,                 1.1408,                0.24911,                0.18102,                0.10456,                0.05104,                 2.0271,                 1.4341,                  1.049,               0.009835,               0.009835,               0.009835
                      8,                 1.5091,                 1.6438,                 1.1263,                0.25066,                0.14596,                0.10051,                0.04758,                 1.9725,                 1.3548,                 1.0284,               0.009802,               0.009802,               0.009802
                      9,                 1.4676,                  1.609,                  1.116,                0.42407,                0.12902,                0.11175,                 0.0559,                 1.9417,                 1.3009,                 1.0268,               0.009769,               0.009769,               0.009769
                     10,                 1.4324,                 1.5858,                 1.1087,                0.26224,                0.18246,                0.10519,                0.05188,                 1.8888,                 1.2668,                 1.0055,               0.009736,               0.009736,               0.009736
                     11,                 1.4273,                 1.5674,                 1.1015,                0.27728,                0.12263,                0.16969,                0.09816,                 1.8903,                  1.258,                0.99518,               0.009703,               0.009703,               0.009703
                     12,                 1.4002,                 1.5514,                 1.0946,                0.28558,                0.13855,                0.11691,                0.06058,                 1.8416,                 1.2002,                0.98427,                0.00967,                0.00967,                0.00967
                     13,                 1.3831,                 1.5354,                 1.0868,                0.28406,                  0.212,                0.19241,                0.12205,                 1.8339,                 1.1971,                0.98087,               0.009637,               0.009637,               0.009637
                     14,                 1.3772,                 1.5142,                 1.0855,                0.25705,                0.21792,                0.18667,                0.10005,                 1.8681,                 1.1784,                 1.0095,               0.009604,               0.009604,               0.009604
                     15,                 1.3599,                 1.5026,                  1.076,                0.18823,                 0.2821,                  0.155,                0.08973,                 1.8345,                 1.2285,                 0.9867,               0.009571,               0.009571,               0.009571
                     16,                 1.3471,                 1.4956,                 1.0754,                0.28935,                0.18915,                0.15017,                0.08657,                 1.7679,                 1.1528,                0.97278,               0.009538,               0.009538,               0.009538
                     17,                  1.347,                 1.4803,                 1.0735,                0.13245,                0.15561,                0.13824,                 0.0784,                 1.8449,                 1.2681,                0.99729,               0.009505,               0.009505,               0.009505
                     18,                 1.3345,                 1.4784,                 1.0733,                 0.2737,                0.14802,                0.12507,                0.06524,                 1.7526,                 1.2161,                 0.9702,               0.009472,               0.009472,               0.009472
                     19,                 1.3173,                 1.4625,                 1.0654,                0.30819,                0.15908,                 0.1664,                0.09692,                 1.7283,                  1.132,                0.95703,               0.009439,               0.009439,               0.009439
                     20,                 1.3094,                 1.4527,                 1.0637,                0.41883,                0.22935,                0.16612,                0.09896,                 1.7365,                 1.1084,                0.96559,               0.009406,               0.009406,               0.009406
                     21,                 1.3015,                 1.4448,                 1.0604,                0.36062,                0.17512,                0.21636,                0.13043,                 1.7388,                 1.1496,                 0.9634,               0.009373,               0.009373,               0.009373
                     22,                 1.2974,                  1.435,                  1.059,                0.48364,                0.18388,                0.16194,                0.09168,                 1.7129,                 1.1119,                0.95532,                0.00934,                0.00934,                0.00934
                     23,                 1.2928,                 1.4367,                 1.0599,                0.32705,                0.22115,                0.16272,                0.08784,                 1.7171,                  1.067,                0.96236,               0.009307,               0.009307,               0.009307
                     24,                  1.292,                 1.4331,                 1.0563,                0.30393,                0.22748,                0.18375,                0.10446,                 1.7115,                 1.0842,                0.96084,               0.009274,               0.009274,               0.009274
