                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6241,                  3.838,                 3.6584,                0.04484,                0.04855,                0.01661,                0.00533,                 2.9995,                 2.8571,                 2.2555,              0.0033265,              0.0033265,              0.0033265
                      2,                 2.2677,                  2.414,                 2.1319,                 0.6479,                0.08333,                0.08065,                0.03432,                 2.1394,                 1.7663,                 1.4978,              0.0066378,              0.0066378,              0.0066378
                      3,                 1.8384,                 2.0468,                 1.6552,                0.39634,                0.12359,                0.10555,                0.05031,                 1.8431,                 1.5142,                  1.311,              0.0099272,              0.0099272,              0.0099272
                      4,                 1.6413,                  1.868,                 1.4945,                0.22983,                0.17996,                0.12057,                0.05535,                 1.7444,                 1.4605,                 1.2483,               0.009901,               0.009901,               0.009901
                      5,                 1.5233,                 1.7208,                 1.4062,                0.45151,                0.16804,                0.13902,                0.07501,                 1.6519,                 1.2885,                 1.1945,               0.009901,               0.009901,               0.009901
                      6,                 1.4525,                 1.6435,                 1.3639,                0.40668,                0.20847,                0.16199,                0.08826,                 1.6036,                 1.2051,                  1.177,               0.009868,               0.009868,               0.009868
                      7,                  1.414,                  1.588,                 1.3392,                0.45656,                0.22746,                0.19866,                0.12296,                 1.6322,                 1.1879,                 1.1869,               0.009835,               0.009835,               0.009835
                      8,                 1.3865,                 1.5509,                 1.3218,                0.45398,                0.19498,                0.23375,                0.14269,                 1.6175,                 1.1107,                 1.1831,               0.009802,               0.009802,               0.009802
                      9,                 1.3538,                 1.5088,                 1.3012,                0.60201,                0.16511,                 0.1763,                0.10127,                 1.5744,                 1.1487,                 1.1696,               0.009769,               0.009769,               0.009769
                     10,                 1.3252,                 1.4857,                 1.2938,                0.28646,                0.20509,                0.22343,                0.13317,                  1.539,                 1.1494,                 1.1559,               0.009736,               0.009736,               0.009736
                     11,                 1.3276,                 1.4634,                 1.2862,                0.28779,                0.25353,                0.25566,                 0.1601,                 1.5263,                 1.0835,                 1.1434,               0.009703,               0.009703,               0.009703
                     12,                 1.3089,                 1.4465,                 1.2805,                0.31164,                0.20786,                0.17762,                0.10695,                 1.5131,                  1.171,                 1.1409,                0.00967,                0.00967,                0.00967
                     13,                 1.2912,                 1.4239,                 1.2662,                0.29132,                0.28316,                0.25978,                0.16065,                 1.5019,                 1.0621,                 1.1343,               0.009637,               0.009637,               0.009637
                     14,                 1.2893,                 1.4044,                 1.2658,                0.51387,                0.24552,                0.28875,                 0.1832,                 1.4964,                 1.0557,                 1.1333,               0.009604,               0.009604,               0.009604
                     15,                  1.275,                 1.3902,                 1.2543,                0.56892,                0.20484,                0.24112,                0.14553,                 1.5104,                 1.0499,                 1.1339,               0.009571,               0.009571,               0.009571
                     16,                 1.2693,                 1.3919,                  1.256,                0.48843,                0.23987,                0.21239,                0.12905,                 1.4854,                 1.0695,                 1.1274,               0.009538,               0.009538,               0.009538
                     17,                 1.2685,                 1.3656,                 1.2485,                0.36581,                0.25456,                0.27441,                0.16352,                 1.5008,                 1.0544,                 1.1322,               0.009505,               0.009505,               0.009505
                     18,                 1.2554,                 1.3686,                 1.2471,                0.53795,                0.22304,                 0.2399,                0.15134,                 1.4763,                 1.0289,                  1.122,               0.009472,               0.009472,               0.009472
                     19,                 1.2459,                  1.348,                  1.241,                0.23748,                0.40368,                0.30356,                0.21333,                 1.4752,                 1.0091,                 1.1189,               0.009439,               0.009439,               0.009439
                     20,                 1.2481,                 1.3431,                 1.2425,                0.45108,                0.26788,                0.26859,                0.16824,                 1.4828,                0.99273,                   1.12,               0.009406,               0.009406,               0.009406
                     21,                 1.2343,                 1.3348,                 1.2386,                0.52429,                0.23179,                 0.2364,                0.13898,                 1.4686,                 1.0078,                 1.1124,               0.009373,               0.009373,               0.009373
                     22,                 1.2347,                 1.3257,                 1.2317,                0.48341,                0.25222,                  0.271,                0.16883,                 1.4786,                 1.0439,                 1.1133,                0.00934,                0.00934,                0.00934
                     23,                 1.2305,                 1.3247,                 1.2372,                0.56621,                0.23697,                0.26573,                0.16791,                 1.4639,                0.97739,                 1.1206,               0.009307,               0.009307,               0.009307
                     24,                 1.2279,                 1.3144,                 1.2303,                0.41101,                0.25057,                0.32409,                0.20629,                 1.4902,                 1.0102,                 1.1218,               0.009274,               0.009274,               0.009274
                     25,                 1.2313,                 1.3039,                 1.2235,                0.39383,                0.30165,                0.28033,                0.16892,                 1.4569,                0.98586,                 1.1115,               0.009241,               0.009241,               0.009241
                     26,                 1.2153,                 1.3059,                 1.2283,                0.23832,                0.42001,                 0.3166,                0.20396,                 1.4584,                0.96258,                 1.1128,               0.009208,               0.009208,               0.009208
                     27,                 1.2188,                 1.2967,                 1.2252,                0.65282,                0.20902,                0.20934,                0.12161,                 1.4561,                0.99061,                 1.1102,               0.009175,               0.009175,               0.009175
                     28,                 1.2169,                 1.2907,                 1.2266,                0.35962,                0.29004,                0.31489,                0.21028,                  1.456,                 0.9723,                 1.1089,               0.009142,               0.009142,               0.009142
                     29,                 1.2136,                 1.2845,                 1.2239,                0.28308,                0.46681,                0.29785,                0.19166,                 1.4551,                0.96988,                 1.1119,               0.009109,               0.009109,               0.009109
                     30,                 1.2106,                 1.2806,                 1.2213,                0.32813,                0.50022,                0.32235,                0.21256,                 1.4378,                0.96742,                 1.1082,               0.009076,               0.009076,               0.009076
                     31,                 1.2097,                  1.277,                  1.218,                0.25706,                0.41861,                0.29659,                 0.1952,                 1.4444,                0.96608,                  1.105,               0.009043,               0.009043,               0.009043
                     32,                 1.1998,                 1.2726,                 1.2123,                0.38098,                0.32487,                0.31846,                 0.2161,                 1.4529,                0.94197,                 1.1124,                0.00901,                0.00901,                0.00901
                     33,                 1.1969,                 1.2597,                  1.212,                0.58068,                0.28609,                0.29094,                0.18724,                 1.4321,                0.94776,                 1.1039,               0.008977,               0.008977,               0.008977
                     34,                 1.1892,                 1.2575,                 1.2126,                0.30935,                0.45492,                0.33128,                0.21904,                 1.4449,                0.95366,                 1.1039,               0.008944,               0.008944,               0.008944
                     35,                 1.1899,                 1.2524,                 1.2093,                0.31366,                0.47864,                0.29675,                0.20192,                 1.4419,                 0.9417,                 1.1073,               0.008911,               0.008911,               0.008911
                     36,                 1.1934,                 1.2657,                 1.2142,                0.31733,                0.41864,                0.29229,                0.19363,                 1.4399,                0.94986,                 1.1039,               0.008878,               0.008878,               0.008878
                     37,                 1.1924,                 1.2476,                 1.2078,                0.38623,                0.41558,                0.31154,                0.20966,                 1.4327,                0.93886,                 1.1065,               0.008845,               0.008845,               0.008845
                     38,                 1.1825,                 1.2514,                 1.2063,                0.52925,                0.26994,                 0.3039,                0.20686,                 1.4224,                0.92854,                  1.104,               0.008812,               0.008812,               0.008812
                     39,                  1.183,                  1.244,                 1.2058,                0.55492,                0.28338,                0.29799,                0.19569,                 1.4158,                 0.9364,                 1.1009,               0.008779,               0.008779,               0.008779
                     40,                 1.1795,                 1.2381,                 1.2086,                0.48554,                0.27501,                0.24462,                0.15524,                  1.433,                0.94301,                 1.1085,               0.008746,               0.008746,               0.008746
                     41,                 1.1819,                 1.2339,                 1.2052,                 0.4074,                0.32604,                0.28373,                 0.1819,                 1.4217,                0.90075,                 1.1038,               0.008713,               0.008713,               0.008713
                     42,                  1.177,                 1.2397,                 1.2048,                0.42527,                0.27045,                0.27822,                0.17469,                 1.4184,                0.91693,                 1.0998,                0.00868,                0.00868,                0.00868
                     43,                 1.1781,                 1.2358,                  1.201,                 0.5266,                0.30096,                0.27833,                0.18351,                 1.4176,                0.90402,                 1.0965,               0.008647,               0.008647,               0.008647
                     44,                  1.172,                 1.2303,                 1.1999,                0.32624,                0.51248,                0.29664,                0.19903,                 1.4179,                0.93782,                 1.0975,               0.008614,               0.008614,               0.008614
                     45,                 1.1878,                 1.2284,                 1.2081,                0.49828,                0.33181,                0.36203,                0.25143,                 1.4166,                0.91516,                 1.0953,               0.008581,               0.008581,               0.008581
                     46,                 1.1667,                 1.2216,                 1.1979,                0.48578,                0.26644,                0.27762,                0.17393,                 1.4094,                0.91879,                 1.0964,               0.008548,               0.008548,               0.008548
                     47,                 1.1692,                  1.219,                  1.197,                0.47589,                0.35366,                0.32159,                0.22003,                 1.4089,                0.90331,                 1.0935,               0.008515,               0.008515,               0.008515
                     48,                 1.1698,                 1.2234,                 1.2018,                0.27723,                0.48936,                0.27497,                0.17656,                 1.4134,                0.92387,                 1.0958,               0.008482,               0.008482,               0.008482
                     49,                 1.1676,                 1.2207,                 1.1951,                0.35231,                0.56169,                0.35682,                0.24189,                 1.4142,                0.89974,                 1.0954,               0.008449,               0.008449,               0.008449
