                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5917,                 1.9053,                 1.1874,                0.26092,                0.16784,                0.11643,                0.06005,                 1.9022,                 1.2855,                 1.0369,               0.003306,               0.003306,               0.003306
                      2,                 1.5383,                 1.6139,                 1.1342,                0.26037,                0.13816,                0.12572,                0.06066,                 2.0355,                 1.2685,                 1.0428,              0.0065736,              0.0065736,              0.0065736
                      3,                 1.5683,                 1.6272,                 1.1235,                0.27294,                0.17301,                0.12311,                0.05918,                 2.1441,                 1.3676,                 1.0832,              0.0097752,              0.0097752,              0.0097752
                      4,                 1.5465,                 1.6293,                 1.1146,                0.26449,                 0.1573,                0.09745,                0.04565,                  1.951,                 2.1204,                 1.0336,               0.009703,               0.009703,               0.009703
                      5,                 1.4909,                 1.5972,                 1.0957,                0.34785,                0.18464,                0.16439,                0.09745,                 1.9318,                 1.4044,                 1.0149,               0.009703,               0.009703,               0.009703
                      6,                 1.4766,                 1.5732,                 1.0849,                0.41068,                0.18224,                0.16602,                0.08981,                 1.8537,                 1.6562,                 1.0002,               0.009604,               0.009604,               0.009604
                      7,                 1.4331,                 1.5501,                 1.0739,                0.53237,                0.15328,                0.16435,                0.08985,                 1.7791,                 1.2936,                0.97699,               0.009505,               0.009505,               0.009505
                      8,                 1.4138,                 1.5246,                 1.0667,                0.38098,                0.15947,                0.15091,                 0.0851,                 1.8033,                 1.3958,                0.98537,               0.009406,               0.009406,               0.009406
                      9,                 1.3935,                 1.5076,                 1.0582,                0.13762,                0.19668,                0.11831,                0.06359,                 1.7234,                  1.333,                0.97178,               0.009307,               0.009307,               0.009307
                     10,                 1.3752,                 1.5026,                 1.0562,                0.27072,                 0.1761,                0.14762,                0.08202,                 1.7671,                 1.2622,                0.98092,               0.009208,               0.009208,               0.009208
                     11,                 1.3617,                 1.4855,                 1.0519,                0.27744,                0.20199,                0.15853,                0.09056,                 1.7078,                 1.2297,                0.97296,               0.009109,               0.009109,               0.009109
                     12,                 1.3462,                  1.468,                 1.0462,                0.33272,                0.16765,                0.15617,                0.08966,                 1.7138,                 1.1542,                0.97101,                0.00901,                0.00901,                0.00901
                     13,                 1.3399,                 1.4611,                  1.044,                0.38057,                0.18843,                0.16485,                0.09375,                 1.7218,                 1.1604,                0.97264,               0.008911,               0.008911,               0.008911
                     14,                 1.3209,                 1.4467,                 1.0397,                0.31556,                0.21453,                0.17567,                0.10356,                 1.6981,                 1.0918,                0.97025,               0.008812,               0.008812,               0.008812
                     15,                 1.3213,                 1.4395,                  1.039,                0.27514,                0.21507,                0.24299,                0.15737,                  1.685,                 1.1098,                0.96741,               0.008713,               0.008713,               0.008713
                     16,                  1.304,                 1.4342,                 1.0354,                0.35039,                0.17163,                  0.197,                0.11761,                 1.7396,                 1.2415,                0.97464,               0.008614,               0.008614,               0.008614
                     17,                 1.3003,                 1.4176,                  1.033,                0.28839,                0.23469,                0.21856,                0.13607,                 1.6968,                 1.1064,                0.96627,               0.008515,               0.008515,               0.008515
                     18,                 1.2883,                 1.4164,                 1.0284,                0.32957,                0.19989,                0.15707,                0.08746,                 1.6543,                 1.1664,                 0.9559,               0.008416,               0.008416,               0.008416
                     19,                 1.2834,                 1.4143,                 1.0276,                0.31867,                0.21628,                0.16541,                0.09571,                 1.6364,                 1.1323,                0.95297,               0.008317,               0.008317,               0.008317
                     20,                 1.2904,                 1.4107,                 1.0272,                0.46797,                0.18044,                0.18486,                0.10726,                 1.6472,                 1.1198,                0.94797,               0.008218,               0.008218,               0.008218
                     21,                 1.2598,                    1.4,                 1.0258,                 0.3534,                0.19392,                0.18886,                0.11637,                 1.6237,                 1.1099,                0.94894,               0.008119,               0.008119,               0.008119
                     22,                 1.2652,                 1.3937,                 1.0229,                0.24306,                0.29647,                 0.2115,                0.12415,                 1.6296,                 1.0679,                0.96618,                0.00802,                0.00802,                0.00802
                     23,                 1.2552,                 1.3836,                 1.0202,                0.20058,                0.22741,                0.20664,                0.12187,                 1.6181,                 1.0898,                0.95365,               0.007921,               0.007921,               0.007921
                     24,                 1.2436,                 1.3817,                 1.0217,                0.36364,                0.19601,                0.23054,                0.15025,                 1.5913,                  1.057,                0.94493,               0.007822,               0.007822,               0.007822
                     25,                 1.2483,                 1.3783,                 1.0213,                0.26616,                0.30269,                0.22864,                0.14546,                 1.6077,                 1.1189,                0.94507,               0.007723,               0.007723,               0.007723
                     26,                 1.2469,                  1.374,                 1.0187,                0.22526,                0.31159,                0.22302,                 0.1406,                  1.612,                 1.0742,                 0.9481,               0.007624,               0.007624,               0.007624
                     27,                 1.2471,                 1.3677,                 1.0168,                 0.2886,                0.23053,                0.25098,                0.16405,                 1.5562,                 1.0827,                0.92602,               0.007525,               0.007525,               0.007525
                     28,                  1.234,                 1.3623,                 1.0127,                0.29097,                0.31658,                 0.2487,                 0.1706,                 1.5547,                 1.0383,                0.93211,               0.007426,               0.007426,               0.007426
                     29,                 1.2275,                 1.3583,                 1.0137,                 0.1935,                0.35088,                0.20843,                0.12593,                 1.5752,                 1.1707,                0.93682,               0.007327,               0.007327,               0.007327
                     30,                 1.2368,                 1.3568,                 1.0191,                0.29486,                0.22841,                0.21983,                0.13993,                 1.5722,                  1.055,                0.93425,               0.007228,               0.007228,               0.007228
                     31,                 1.2322,                 1.3504,                 1.0154,                0.43349,                0.16741,                0.20402,                0.12057,                 1.5715,                 1.0733,                0.94645,               0.007129,               0.007129,               0.007129
                     32,                 1.2194,                 1.3438,                 1.0123,                0.35505,                0.19357,                0.24587,                0.15852,                 1.5597,                  1.053,                0.93911,                0.00703,                0.00703,                0.00703
                     33,                 1.2279,                 1.3485,                 1.0077,                0.25398,                0.32948,                 0.2551,                0.16474,                 1.5633,                 1.0374,                0.92738,               0.006931,               0.006931,               0.006931
                     34,                 1.2397,                 1.3529,                  1.011,                0.46803,                 0.1642,                0.18414,                0.10719,                 1.5663,                 1.0485,                0.92495,               0.006832,               0.006832,               0.006832
                     35,                 1.2256,                 1.3435,                 1.0057,                0.27519,                0.34015,                0.26211,                0.16833,                 1.5569,                 1.0415,                0.92785,               0.006733,               0.006733,               0.006733
                     36,                 1.2332,                 1.3514,                 1.0072,                0.51509,                0.14824,                 0.1882,                0.11336,                 1.5738,                 1.1011,                0.92575,               0.006634,               0.006634,               0.006634
                     37,                 1.2365,                 1.3404,                 1.0079,                0.60421,                 0.1741,                0.20999,                0.12759,                 1.5684,                 1.0321,                 0.9209,               0.006535,               0.006535,               0.006535
                     38,                 1.2268,                  1.339,                  1.005,                0.30304,                0.27383,                0.20576,                0.12565,                 1.5601,                  1.021,                0.91869,               0.006436,               0.006436,               0.006436
                     39,                 1.2303,                 1.3397,                 1.0009,                0.26398,                0.34519,                 0.2748,                0.16863,                 1.5704,                 1.0496,                0.92123,               0.006337,               0.006337,               0.006337
                     40,                 1.2177,                 1.3309,                 1.0021,                  0.228,                0.32652,                0.23347,                0.14601,                 1.5668,                 1.0428,                0.92095,               0.006238,               0.006238,               0.006238
                     41,                 1.2218,                  1.323,                 1.0035,                0.54634,                0.19275,                0.21826,                0.13435,                 1.5556,                  1.034,                0.91665,               0.006139,               0.006139,               0.006139
                     42,                 1.2163,                 1.3358,                0.99997,                0.27317,                0.35703,                0.26718,                0.17475,                 1.5371,                   1.04,                0.91453,                0.00604,                0.00604,                0.00604
                     43,                 1.2217,                 1.3317,                0.99805,                 0.3282,                0.25764,                0.27007,                0.18002,                 1.5272,                 1.0329,                0.91161,               0.005941,               0.005941,               0.005941
                     44,                 1.2152,                 1.3225,                0.99507,                0.36497,                0.20147,                0.20089,                0.12224,                 1.5287,                   1.03,                0.90963,               0.005842,               0.005842,               0.005842
                     45,                 1.2203,                  1.322,                0.99665,                0.32782,                0.23184,                0.19149,                0.11125,                 1.5292,                 1.0394,                0.90828,               0.005743,               0.005743,               0.005743
                     46,                  1.213,                 1.3185,                0.99407,                 0.3162,                0.30044,                0.25053,                0.15816,                 1.5479,                 1.0332,                0.91306,               0.005644,               0.005644,               0.005644
                     47,                 1.2145,                 1.3208,                0.99656,                  0.298,                0.37183,                0.27783,                0.18905,                  1.527,                0.99805,                0.90776,               0.005545,               0.005545,               0.005545
                     48,                 1.2199,                 1.3167,                0.99802,                0.37916,                 0.2166,                0.19719,                0.12166,                 1.5293,                  1.032,                0.91194,               0.005446,               0.005446,               0.005446
                     49,                 1.2058,                  1.311,                0.99043,                0.32871,                0.28955,                0.27731,                0.19594,                 1.5244,                 1.0089,                0.90856,               0.005347,               0.005347,               0.005347
                     50,                  1.216,                 1.3132,                0.99351,                0.37534,                0.21984,                0.21849,                 0.1397,                   1.52,                 1.0131,                0.90802,               0.005248,               0.005248,               0.005248
                     51,                  1.204,                 1.3044,                0.99046,                0.26807,                0.34817,                0.26121,                0.17573,                 1.5323,                0.98483,                0.90954,               0.005149,               0.005149,               0.005149
                     52,                 1.2123,                 1.3005,                0.99214,                 0.3582,                0.20413,                0.19052,                 0.1127,                 1.5173,                0.99793,                0.90772,                0.00505,                0.00505,                0.00505
                     53,                 1.2039,                 1.3028,                0.98849,                0.36905,                0.25319,                0.19524,                0.11367,                 1.5107,                 1.0088,                0.90651,               0.004951,               0.004951,               0.004951
                     54,                 1.2048,                 1.2926,                0.99162,                0.33281,                 0.2124,                0.19018,                0.11089,                 1.5235,                0.99175,                0.90734,               0.004852,               0.004852,               0.004852
                     55,                 1.1971,                 1.2994,                0.98824,                0.38191,                0.25007,                0.25451,                0.16275,                 1.5088,                 1.0046,                0.90444,               0.004753,               0.004753,               0.004753
