                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2795,                 2.1295,                 1.1701,                0.46481,                0.26096,                0.15869,                0.08773,                 1.4821,                 1.3106,                  1.128,             0.00030238,             0.00030238,             0.00030238
                      2,                 1.2314,                 1.5522,                 1.1302,                 0.2102,                 0.5193,                0.29644,                0.19057,                 1.4775,                 1.1402,                 1.1253,              0.0005854,              0.0005854,              0.0005854
                      3,                 1.2227,                 1.4463,                 1.1291,                0.41943,                0.25847,                0.19326,                0.10644,                 1.5082,                 1.1211,                 1.1369,             0.00084842,             0.00084842,             0.00084842
                      4,                 1.2106,                 1.3873,                 1.1263,                0.41808,                0.33165,                0.32174,                0.20593,                 1.4675,                 1.0211,                 1.1152,             0.00081901,             0.00081901,             0.00081901
                      5,                 1.2035,                 1.3321,                 1.1208,                0.32897,                0.45124,                0.31093,                0.20338,                 1.4667,                 1.0616,                 1.1215,             0.00081901,             0.00081901,             0.00081901
                      6,                 1.1938,                 1.3057,                 1.1187,                0.53653,                0.31474,                0.28824,                0.17489,                 1.4714,                 1.0268,                 1.1223,             0.00078901,             0.00078901,             0.00078901
                      7,                  1.179,                 1.2641,                 1.1101,                0.48811,                0.25915,                0.25559,                0.16041,                 1.4756,                 1.0016,                 1.1175,             0.00075902,             0.00075902,             0.00075902
                      8,                 1.1704,                 1.2616,                 1.1081,                0.31462,                0.48961,                0.31513,                0.19648,                 1.4711,                 0.9794,                 1.1185,             0.00072902,             0.00072902,             0.00072902
                      9,                 1.1642,                 1.2344,                 1.1012,                0.47684,                0.38913,                0.34302,                0.23065,                 1.4568,                0.95401,                 1.1086,             0.00069902,             0.00069902,             0.00069902
                     10,                 1.1598,                 1.2052,                 1.1009,                0.54708,                0.37437,                0.26844,                0.15529,                 1.4431,                0.97746,                 1.1036,             0.00066902,             0.00066902,             0.00066902
                     11,                 1.1589,                 1.1969,                 1.0997,                0.20082,                0.59141,                0.28077,                0.16777,                 1.4441,                0.97094,                 1.1059,             0.00063903,             0.00063903,             0.00063903
                     12,                 1.1421,                 1.1887,                 1.0938,                0.53267,                0.25994,                0.24324,                0.14337,                 1.4489,                 1.0733,                 1.1138,             0.00060903,             0.00060903,             0.00060903
                     13,                 1.1368,                 1.1725,                 1.0906,                0.29538,                0.60118,                0.34267,                 0.2219,                 1.4362,                0.91572,                  1.104,             0.00057903,             0.00057903,             0.00057903
                     14,                 1.1445,                 1.1598,                 1.0927,                0.53426,                0.36688,                0.30379,                0.18888,                 1.4137,                 0.8831,                 1.0868,             0.00054904,             0.00054904,             0.00054904
                     15,                 1.1274,                 1.1405,                 1.0873,                0.35158,                0.52619,                0.30624,                0.18688,                 1.4162,                 0.9266,                 1.0985,             0.00051904,             0.00051904,             0.00051904
                     16,                 1.1283,                 1.1434,                 1.0856,                0.57158,                0.37939,                0.37552,                 0.2299,                 1.4231,                0.91593,                 1.0934,             0.00048904,             0.00048904,             0.00048904
                     17,                 1.1191,                 1.1295,                 1.0845,                0.40228,                0.45333,                0.37306,                0.23585,                 1.4194,                0.92292,                 1.0964,             0.00045904,             0.00045904,             0.00045904
                     18,                 1.1234,                 1.1228,                 1.0844,                0.30233,                0.53052,                0.35746,                0.22237,                 1.4083,                0.90357,                 1.0863,             0.00042905,             0.00042905,             0.00042905
                     19,                 1.1173,                 1.1103,                 1.0793,                0.38193,                0.49193,                0.39159,                0.24645,                 1.4136,                0.93469,                 1.0925,             0.00039905,             0.00039905,             0.00039905
                     20,                 1.1087,                 1.1017,                 1.0779,                 0.3206,                0.60647,                0.42263,                 0.2705,                 1.4157,                0.88613,                 1.0908,             0.00036905,             0.00036905,             0.00036905
                     21,                  1.105,                 1.0243,                 1.0667,                0.46874,                0.48793,                0.34679,                0.20408,                 1.4251,                 0.8623,                 1.0949,             0.00033906,             0.00033906,             0.00033906
                     22,                 1.0953,                 1.0122,                 1.0642,                0.37164,                0.53492,                0.41768,                0.27373,                   1.39,                0.85626,                 1.0821,             0.00030906,             0.00030906,             0.00030906
                     23,                 1.0912,                0.99726,                 1.0601,                0.51914,                0.39469,                0.42898,                0.28762,                 1.3948,                0.85545,                 1.0825,             0.00027906,             0.00027906,             0.00027906
                     24,                 1.0881,                0.98869,                 1.0591,                0.34022,                0.55411,                0.38507,                 0.2449,                 1.3925,                0.83305,                 1.0881,             0.00024907,             0.00024907,             0.00024907
                     25,                 1.0793,                0.97142,                 1.0575,                0.29919,                0.56209,                0.39789,                0.25156,                 1.3839,                0.81217,                 1.0796,             0.00021907,             0.00021907,             0.00021907
                     26,                 1.0717,                0.96436,                 1.0519,                0.41926,                0.48364,                0.42691,                0.28155,                 1.3837,                0.81642,                 1.0794,             0.00018907,             0.00018907,             0.00018907
                     27,                 1.0772,                0.95477,                 1.0525,                0.45722,                0.50982,                0.44721,                0.29173,                 1.3799,                0.80349,                 1.0766,             0.00015907,             0.00015907,             0.00015907
                     28,                 1.0672,                0.93791,                 1.0488,                0.48121,                 0.5187,                0.48204,                0.32313,                 1.3829,                0.78378,                 1.0794,             0.00012908,             0.00012908,             0.00012908
