                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6602,                 3.8841,                 3.6969,                0.32835,                0.05881,                0.01629,                 0.0049,                 3.1224,                  2.676,                 2.2982,              0.0033265,              0.0033265,              0.0033265
                      2,                 2.3045,                 2.4278,                 2.1601,                0.35706,                0.08919,                0.06769,                 0.0258,                 2.1878,                 1.9136,                 1.4972,              0.0066378,              0.0066378,              0.0066378
                      3,                 1.8727,                 2.0765,                 1.6795,                0.53142,                0.11356,                0.09928,                0.04359,                 1.8723,                 1.6118,                 1.3375,              0.0099272,              0.0099272,              0.0099272
                      4,                 1.6526,                 1.8787,                 1.5004,                 0.2883,                0.30654,                0.18162,                0.09465,                 1.8311,                 1.5064,                  1.315,               0.009901,               0.009901,               0.009901
                      5,                  1.526,                 1.7198,                  1.409,                0.41487,                0.17725,                0.15163,                0.08255,                 1.6544,                 1.2843,                 1.2145,               0.009901,               0.009901,               0.009901
                      6,                 1.4569,                 1.6494,                  1.365,                0.40333,                0.19922,                0.15115,                0.08158,                 1.6261,                 1.2558,                 1.2007,               0.009868,               0.009868,               0.009868
                      7,                 1.4184,                 1.5887,                 1.3401,                0.41236,                 0.2111,                0.15918,                0.09098,                 1.6151,                 1.2817,                 1.1771,               0.009835,               0.009835,               0.009835
                      8,                 1.3905,                 1.5487,                 1.3231,                0.30601,                0.22207,                0.15762,                0.08846,                 1.5966,                 1.1618,                  1.183,               0.009802,               0.009802,               0.009802
                      9,                  1.361,                 1.5091,                 1.3041,                0.46401,                0.18091,                0.18131,                0.10626,                  1.573,                 1.1346,                 1.1653,               0.009769,               0.009769,               0.009769
                     10,                 1.3315,                 1.4887,                 1.2974,                0.46732,                0.23005,                0.22452,                0.13377,                 1.5413,                 1.1384,                  1.149,               0.009736,               0.009736,               0.009736
                     11,                 1.3336,                 1.4641,                 1.2888,                 0.2881,                0.20996,                0.18035,                0.10397,                 1.5333,                 1.1111,                 1.1514,               0.009703,               0.009703,               0.009703
                     12,                 1.3109,                 1.4457,                 1.2798,                0.39331,                0.22319,                0.19414,                0.11602,                  1.519,                 1.1187,                 1.1403,                0.00967,                0.00967,                0.00967
                     13,                 1.2975,                  1.428,                 1.2689,                0.26871,                0.25833,                0.24713,                 0.1519,                 1.5053,                 1.0709,                  1.139,               0.009637,               0.009637,               0.009637
                     14,                 1.2914,                 1.4049,                 1.2655,                0.44536,                 0.2359,                 0.1933,                0.11056,                 1.5021,                 1.0845,                 1.1361,               0.009604,               0.009604,               0.009604
                     15,                 1.2777,                 1.3907,                  1.255,                0.20675,                0.32931,                0.23695,                0.15226,                 1.5135,                 1.0505,                 1.1418,               0.009571,               0.009571,               0.009571
                     16,                 1.2695,                 1.3883,                 1.2538,                0.49175,                0.23301,                0.20074,                0.12139,                 1.4987,                 1.0816,                 1.1349,               0.009538,               0.009538,               0.009538
                     17,                 1.2676,                 1.3662,                  1.247,                0.32669,                0.29393,                0.23967,                0.14266,                 1.5033,                 1.0532,                 1.1325,               0.009505,               0.009505,               0.009505
